Original: {'10_F1': 0.964401294498382, '20_F1': 0.9261744966442953}
Gaussian: {'10_F1': 0.9576547231270358, '20_F1': 0.9115646258503401}
Anisotropic: {'10_F1': 0.961038961038961, '20_F1': 0.9225589225589226}
Total_Variation: {'10_F1': 0.961038961038961, '20_F1': 0.9225589225589226}
Yaroslavsky: {'10_F1': 0.9576547231270358, '20_F1': 0.9115646258503401}
Non-Local_Means: {'10_F1': 0.961038961038961, '20_F1': 0.9261744966442953}
Ksvd: {'10_F1': 0.961038961038961, '20_F1': 0.9115646258503401}
Take maximum: {'10_F1': 0.754863813229572, '20_F1': 0.7351778656126483}
Our: {'10_F1': 1.0, '20_F1': 0.9905362776025236}
